"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PPA1",1.59977155956797e-19,0.83718693360107,0.986,0.811,3.58380824774416e-15,"0","PPA1"
"PERP",5.7886993875366e-18,1.13396019058503,0.987,0.661,1.29678443679595e-13,"0","PERP"
"ANXA2",7.87493283144495e-17,0.89138665030872,0.983,0.861,1.7641424529003e-12,"0","ANXA2"
"PRSS23",8.70263502770172e-16,0.890605918800697,0.718,0.322,1.94956429890574e-11,"0","PRSS23"
"PRAP1",8.90418683999475e-15,0.809963286248112,0.634,0.186,1.99471593589562e-10,"0","PRAP1"
"LDHA",1.09608079810696e-14,1.34246243903587,0.976,0.856,2.45544020391921e-10,"0","LDHA"
"IL32",2.9993315792371e-14,0.703322487643942,0.913,0.517,6.71910260380696e-10,"0","IL32"
"CSTB",3.33384762340832e-14,1.35561217797502,0.992,0.825,7.46848544595932e-10,"0","CSTB"
"TM4SF1",3.68573584107338e-14,1.12963570935697,0.706,0.224,8.2567854311726e-10,"0","TM4SF1"
"MIF",7.9887929710582e-14,0.745929462569441,0.987,0.9,1.78964940137646e-09,"0","MIF"
"KRT18",1.37361149371176e-13,1.05120475462797,0.999,0.807,3.07716446821308e-09,"0","KRT18"
"SERPINB6",1.64108466204751e-13,0.731510646580998,0.939,0.655,3.67635785991884e-09,"0","SERPINB6"
"GSTP1",2.6803578733998e-13,0.831066541735611,0.994,0.948,6.00453770799023e-09,"0","GSTP1"
"RAC1",2.74833989088658e-13,0.809616236329407,0.998,0.922,6.15683102356413e-09,"0","RAC1"
"MMP7",2.92153595374038e-13,2.29410275188771,0.501,0.105,6.5448248435692e-09,"0","MMP7"
"PKM",3.20219961967477e-13,0.834000163009117,0.978,0.794,7.17356758799542e-09,"0","PKM"
"S100A11",4.90733941791155e-13,1.15379087901741,0.997,0.871,1.09934217640054e-08,"0","S100A11"
"GAPDH",5.83290316247769e-13,0.773492580197994,1,0.994,1.30668696645825e-08,"0","GAPDH"
"RPL8",1.10804337672341e-12,0.581824807596417,1,0.996,2.48223877253577e-08,"0","RPL8"
"CXADR",1.19629957386463e-12,0.778486117410218,0.907,0.54,2.67995030537154e-08,"0","CXADR"
"ATP1B1",1.53832732536538e-12,1.26195813315787,0.984,0.735,3.44616087428352e-08,"0","ATP1B1"
"ANXA3",1.89940332016735e-12,0.831757729658444,0.783,0.358,4.25504331783889e-08,"0","ANXA3"
"FHL2",2.91802040693784e-12,0.989630669773924,0.812,0.402,6.53694931562214e-08,"0","FHL2"
"IFI27",3.85680575059895e-12,0.866173502023242,0.988,0.797,8.64001624249178e-08,"0","IFI27"
"PMEPA1",9.63471470426243e-12,0.847116699491234,0.708,0.275,2.15836878804887e-07,"0","PMEPA1"
"KRT8",1.40259276304028e-11,0.698488234001884,0.999,0.824,3.14208830776283e-07,"0","KRT8"
"TNFRSF12A",1.40690953236145e-11,1.08606548501537,0.662,0.233,3.15175873439611e-07,"0","TNFRSF12A"
"TGFBI",1.74540245516943e-11,0.872418837792119,0.775,0.316,3.91005058007057e-07,"0","TGFBI"
"MAL2",1.80368051030377e-11,0.764963260550274,0.867,0.533,4.04060507918251e-07,"0","MAL2"
"ERO1A",1.90608216806876e-11,0.918831240254919,0.719,0.339,4.27000527290765e-07,"0","ERO1A"
"HSP90AB1",2.30875671315697e-11,0.676556292728872,0.994,0.909,5.17207678881423e-07,"0","HSP90AB1"
"CLIC1",2.61420357248688e-11,0.768014191622762,0.998,0.951,5.8563388430851e-07,"0","CLIC1"
"EPB41L2",2.81505307003032e-11,0.478570157128862,0.722,0.361,6.30628188748192e-07,"0","EPB41L2"
"PRSS3",3.47557763058049e-11,0.732106081759205,0.901,0.564,7.78598900802642e-07,"0","PRSS3"
"KRT20",3.87800204722112e-11,0.512760971617491,0.644,0.256,8.68750018618474e-07,"0","KRT20"
"CEMIP",4.29248161722707e-11,0.466191078222646,0.397,0.082,9.61601731891207e-07,"0","CEMIP"
"NPM1",5.70503459399055e-11,0.472642684534816,0.99,0.923,1.27804184974576e-06,"0","NPM1"
"ZFAS1",6.30454632126545e-11,0.955024674968288,0.986,0.809,1.41234446688989e-06,"0","ZFAS1"
"TSPAN8",7.10505370513215e-11,0.747966539343548,0.988,0.779,1.5916741310237e-06,"0","TSPAN8"
"NPNT",7.29756904163425e-11,0.262809409065267,0.398,0.153,1.6348014167069e-06,"0","NPNT"
"FTL",7.49461161450852e-11,0.323851953073715,1,0.988,1.6789428938822e-06,"0","FTL"
"EIF3H",9.06772908082217e-11,0.550928521971427,0.959,0.837,2.03135266868578e-06,"0","EIF3H"
"BMP4",9.7430781332239e-11,0.795555275686477,0.472,0.115,2.18264436340482e-06,"0","BMP4"
"RPL7",1.29858825000381e-10,0.622406468676462,0.999,0.986,2.90909739765854e-06,"0","RPL7"
"RPL7A",1.52452474026513e-10,0.487317420627084,1,0.983,3.41524032314193e-06,"0","RPL7A"
"GPRC5A",1.64178037353761e-10,0.739105841366872,0.812,0.45,3.67791639279895e-06,"0","GPRC5A"
"RCN1",1.9742811336117e-10,0.640151827911517,0.769,0.501,4.42278459551692e-06,"0","RCN1"
"KRT19",2.19304673777736e-10,0.809455152305256,0.989,0.738,4.91286330196885e-06,"0","KRT19"
"TRIP6",3.2437505156978e-10,0.431988819086915,0.669,0.298,7.26664990526622e-06,"0","TRIP6"
"CA9",3.80787408647736e-10,0.917464855523394,0.471,0.112,8.53039952852658e-06,"0","CA9"
"CD59",4.70249678667859e-10,0.417666203050232,0.8,0.538,1.05345333015174e-05,"0","CD59"
"PRELID3B",4.7874423446168e-10,0.417539844683148,0.8,0.529,1.07248283404106e-05,"0","PRELID3B"
"RNF43",4.84110273675787e-10,0.641509116268603,0.808,0.445,1.0845038350885e-05,"0","RNF43"
"PGK1",6.71478021586953e-10,0.784158823963968,0.93,0.754,1.50424506395909e-05,"0","PGK1"
"RFK",7.21591188807248e-10,0.411419096602136,0.704,0.385,1.616508581166e-05,"0","RFK"
"RPL30",7.68791137812787e-10,0.520537817813267,0.999,0.985,1.72224590692821e-05,"0","RPL30"
"SDCBP",8.71858210654793e-10,0.331294740101973,0.864,0.656,1.95313676350887e-05,"0","SDCBP"
"EIF3E",9.96120931234935e-10,0.572640441288084,0.961,0.864,2.2315101101525e-05,"0","EIF3E"
"SERPINB1",1.04291137774364e-09,0.662935840046491,0.937,0.734,2.3363300684213e-05,"0","SERPINB1"
"PABPC1",1.11009419249403e-09,0.615011967169659,0.999,0.951,2.48683301002513e-05,"0","PABPC1"
"RPL6",1.14540170532586e-09,0.401975043032669,0.999,0.973,2.56592890027098e-05,"0","RPL6"
"VDAC1",1.16193168226201e-09,0.669662117216159,0.972,0.804,2.60295935460336e-05,"0","VDAC1"
"SOX4",1.21089396681144e-09,0.827156947097603,0.953,0.57,2.71264466445098e-05,"0","SOX4"
"RPS20",1.21709388266377e-09,0.502858712770879,0.999,0.982,2.72653371594338e-05,"0","RPS20"
"TSC22D1",1.2759611801332e-09,1.09581609273784,0.949,0.638,2.85840823573439e-05,"0","TSC22D1"
"BACE2",1.43083328054742e-09,0.698545790932167,0.877,0.486,3.20535271508233e-05,"0","BACE2"
"KIF5B",1.46821447000644e-09,0.704576196987398,0.959,0.744,3.28909405570844e-05,"0","KIF5B"
"GPX2",1.52484392180823e-09,0.671374988783509,0.963,0.714,3.4159553536348e-05,"0","GPX2"
"IFITM1",1.75177738366817e-09,0.960230846020957,0.776,0.4,3.92433169489343e-05,"0","IFITM1"
"SPINT2",1.95486330759149e-09,0.569261044896861,0.995,0.852,4.37928478166647e-05,"0","SPINT2"
"PSMA7",2.27894775109613e-09,0.647769215593787,0.989,0.892,5.10529875200556e-05,"0","PSMA7"
"ASCL2",2.62336148944804e-09,0.680840653217643,0.79,0.358,5.8768544086615e-05,"0","ASCL2"
"DNAJC15",2.6784733412835e-09,0.553706150595648,0.931,0.757,6.0003159791433e-05,"0","DNAJC15"
"PITX1",2.77372102762753e-09,0.322260649868996,0.496,0.16,6.21368984609119e-05,"0","PITX1"
"RPS7",3.53660497335486e-09,0.535481943219585,1,0.978,7.92270246130955e-05,"0","RPS7"
"SEZ6L2",3.7506604626503e-09,0.255915776686686,0.452,0.214,8.4022295684292e-05,"0","SEZ6L2"
"EPCAM",4.23603369868013e-09,0.602569994449742,0.999,0.796,9.48956269178323e-05,"0","EPCAM"
"SCD",5.20050071158385e-09,1.05064946263301,0.638,0.269,0.000116501616940901,"0","SCD"
"OCIAD2",5.43340034068323e-09,0.660593622850719,0.955,0.715,0.000121719034431986,"0","OCIAD2"
"SLC25A3",5.99679174261829e-09,0.350854524061227,0.985,0.917,0.000134340128618135,"0","SLC25A3"
"MYL12B",6.35289616091457e-09,0.406747471481611,0.99,0.913,0.000142317579796808,"0","MYL12B"
"C8orf33",7.63758714860051e-09,0.739584568057773,0.68,0.38,0.000171097227302949,"0","C8orf33"
"CLDN2",8.10833809115504e-09,0.65499423920554,0.525,0.172,0.000181642989918055,"0","CLDN2"
"VSNL1",9.69241013526046e-09,0.30492450635333,0.393,0.136,0.000217129371850105,"0","VSNL1"
"AP1S1",1.1303478664092e-08,0.417449725162155,0.851,0.566,0.00025322052903299,"0","AP1S1"
"ARL4A",1.25799263965717e-08,0.384620436843716,0.734,0.454,0.000281815511136,"0","ARL4A"
"BCL2L15",1.26152069229923e-08,0.269056964486872,0.617,0.362,0.000282605865488873,"0","BCL2L15"
"CCND1",1.35768487777513e-08,0.880480897162179,0.773,0.423,0.000304148566319186,"0","CCND1"
"BCL2L1",1.42948227115387e-08,0.489485382009712,0.62,0.257,0.000320232618383889,"0","BCL2L1"
"LYZ",1.44881343419679e-08,0.490962943265851,0.832,0.466,0.000324563185528766,"0","LYZ"
"NQO1",1.51160473964747e-08,0.775224923890067,0.855,0.466,0.000338629693775827,"0","NQO1"
"MSX2",1.54154050744559e-08,0.363055633827879,0.316,0.065,0.000345335904477961,"0","MSX2"
"PRDX1",1.58109574540477e-08,0.467929112202925,0.985,0.88,0.000354197068885577,"0","PRDX1"
"OLFM4",1.61113318606111e-08,1.07550433017296,0.794,0.459,0.000360926056341409,"0","OLFM4"
"NACA",1.63579739096218e-08,0.514817517316617,0.999,0.972,0.000366451331523348,"0","NACA"
"SKP1",1.76897691125764e-08,0.421797004372389,0.979,0.908,0.000396286207659936,"0","SKP1"
"MISP",1.86577442693867e-08,0.620459995705061,0.806,0.492,0.0004179707871228,"0","MISP"
"CYP3A5",2.023472597241e-08,0.313951973853001,0.749,0.458,0.000453298331233929,"0","CYP3A5"
"RPS2",2.1254019764485e-08,0.476253012172403,1,0.986,0.000476132550763993,"0","RPS2"
"PLBD1",2.59214506738966e-08,0.392147041866113,0.754,0.483,0.000580692337996631,"0","PLBD1"
"SLC40A1",2.59930352719119e-08,0.583873365185721,0.725,0.398,0.000582295976161371,"0","SLC40A1"
"RPL27",2.62425871019233e-08,0.374099383408551,0.999,0.979,0.000587886436257286,"0","RPL27"
"RPL29",2.69880688887919e-08,0.420347877413689,1,0.992,0.000604586719246717,"0","RPL29"
"IGFBP2",2.72137229689848e-08,0.370531559866434,0.653,0.408,0.000609641821951198,"0","IGFBP2"
"LAPTM4B",2.83373962505315e-08,0.503837742734694,0.708,0.324,0.000634814350804407,"0","LAPTM4B"
"NME4",3.48006657933874e-08,0.303729873210023,0.674,0.411,0.000779604515103465,"0","NME4"
"ELOC",4.0503236400918e-08,0.403671920493926,0.905,0.679,0.000907353501853365,"0","ELOC"
"TMEM45B",4.17889107000492e-08,0.524306062909456,0.79,0.435,0.000936155177502501,"0","TMEM45B"
"AZGP1",4.18057682833111e-08,0.533044785566335,0.511,0.124,0.000936532821082735,"0","AZGP1"
"SINHCAF",4.34732712468694e-08,0.286037670070869,0.699,0.437,0.000973888222472368,"0","SINHCAF"
"CXCL16",4.37794158887065e-08,0.24905156192007,0.55,0.273,0.000980746474738803,"0","CXCL16"
"PSMB5",4.80618160800718e-08,0.44317919302634,0.889,0.657,0.00107668080382577,"0","PSMB5"
"NDFIP2",4.92694770371108e-08,0.403884737577728,0.767,0.481,0.00110373482458536,"0","NDFIP2"
"CD46",5.03029623482643e-08,0.556946803634169,0.93,0.644,0.00112688696252582,"0","CD46"
"QPRT",5.16587957998707e-08,0.584555958839458,0.771,0.49,0.0011572603435087,"0","QPRT"
"ENO1",5.75356704160354e-08,0.593368544308582,0.965,0.834,0.00128891408866003,"0","ENO1"
"STXBP6",5.78464093083575e-08,0.308604258451842,0.66,0.355,0.00129587526132582,"0","STXBP6"
"ETV4",5.80715225285535e-08,0.304163513947401,0.394,0.104,0.00130091824768465,"0","ETV4"
"SULT2B1",6.27075389794847e-08,0.359794531267046,0.398,0.086,0.00140477428821842,"0","SULT2B1"
"MPZL2",6.61919756533471e-08,0.322092088774806,0.534,0.244,0.00148283263858628,"0","MPZL2"
"ZNF706",6.66543322173105e-08,0.52616711750129,0.944,0.781,0.00149319035033219,"0","ZNF706"
"PHLDA1",6.77128835828758e-08,0.64537806519617,0.56,0.235,0.00151690401802358,"0","PHLDA1"
"POMP",6.85563624694936e-08,0.618053732232252,0.99,0.899,0.0015357996320416,"0","POMP"
"LGALS3",6.92378384929524e-08,0.744653713297168,0.995,0.882,0.00155106605791912,"0","LGALS3"
"RHEB",7.45218068577224e-08,0.472486455848986,0.898,0.629,0.0016694375172267,"0","RHEB"
"TPI1",7.89164056237541e-08,0.583154593943705,0.988,0.923,0.00176788531878334,"0","TPI1"
"SFN",7.99827115922322e-08,0.515306927799271,0.799,0.489,0.00179177270508919,"0","SFN"
"RPS3",8.11907085848977e-08,0.575693533184744,1,0.995,0.00181883425371888,"0","RPS3"
"PHF20L1",8.18377275890084e-08,0.25675996044023,0.629,0.369,0.00183332877344897,"0","PHF20L1"
"APP",8.75877541099226e-08,0.424365320806131,0.961,0.746,0.00196214086757049,"0","APP"
"PRSS22",9.05874978746531e-08,0.437263564256954,0.368,0.095,0.00202934112738798,"0","PRSS22"
"SLC39A4",9.11302411753775e-08,0.521948897263689,0.765,0.46,0.00204149966281081,"0","SLC39A4"
"HSF1",9.21316338047154e-08,0.233970760768934,0.629,0.371,0.00206393286049323,"0","HSF1"
"PTK2",9.44162433354859e-08,0.226062066068052,0.532,0.267,0.00211511268320155,"0","PTK2"
"DSC2",9.84946489100037e-08,0.33053306300273,0.778,0.492,0.0022064771248819,"0","DSC2"
"PCBD1",1.07442139127339e-07,0.36109294903056,0.923,0.673,0.00240691880073066,"0","PCBD1"
"VDAC2",1.18156335562873e-07,0.464346495601029,0.953,0.819,0.00264693822927947,"0","VDAC2"
"RPLP0",1.23177141916359e-07,0.306878674799342,0.999,0.981,0.00275941433321027,"0","RPLP0"
"TBX3",1.25111914825927e-07,0.441829113604984,0.496,0.176,0.00280275711593042,"0","TBX3"
"RPL14",1.26506238675765e-07,0.371511407260065,1,0.983,0.00283399275881449,"0","RPL14"
"TOMM20",1.29208823100009e-07,0.433715112413941,0.928,0.729,0.00289453605508641,"0","TOMM20"
"ANXA4",1.30757426025677e-07,0.456024204694345,0.922,0.639,0.00292922785782721,"0","ANXA4"
"ARMC10",1.45852449659219e-07,0.275219043089107,0.727,0.441,0.00326738657726583,"0","ARMC10"
"RAN",1.47295745153413e-07,0.301616372820319,0.971,0.841,0.00329971928292676,"0","RAN"
"MACC1",1.538598238036e-07,0.329752565891446,0.497,0.205,0.00344676777284825,"0","MACC1"
"ERGIC3",1.54252607188873e-07,0.439311643864648,0.952,0.814,0.00345556690624514,"0","ERGIC3"
"C4orf48",1.68806504382869e-07,0.595602000628771,0.877,0.611,0.00378160331118504,"0","C4orf48"
"POLR1D",1.68856778810941e-07,0.557151789235327,0.934,0.709,0.00378272955892271,"0","POLR1D"
"NCOA7",1.71016132658449e-07,0.282899570914423,0.609,0.399,0.00383110340381457,"0","NCOA7"
"C1orf43",1.74013529872371e-07,0.331657643959785,0.876,0.658,0.00389825109620087,"0","C1orf43"
"AREG",1.88374108393768e-07,0.889878034399891,0.627,0.358,0.00421995677623719,"0","AREG"
"FBXO2",1.93365382988716e-07,0.501399815596429,0.247,0.045,0.00433177130971321,"0","FBXO2"
"NDUFC2",1.98909504856401e-07,0.42343100688763,0.967,0.834,0.00445597072779309,"0","NDUFC2"
"AL121761.2",2.06967645901659e-07,0.283764293981407,0.207,0.035,0.00463648920348897,"0","AL121761.2"
"AL133453.1",2.12631830340422e-07,0.291352462872438,0.329,0.097,0.00476337826328613,"0","AL133453.1"
"IDH1",2.3786482442164e-07,0.278610277361602,0.737,0.508,0.00532864779669358,"0","IDH1"
"CLTA",2.40983017648803e-07,0.572574409843582,0.966,0.819,0.00539850156136848,"0","CLTA"
"MYO10",2.47710795556564e-07,0.33462269140347,0.683,0.396,0.00554921724205814,"0","MYO10"
"ACSL5",2.54160717825104e-07,0.236096630726826,0.788,0.536,0.00569370840071798,"0","ACSL5"
"CD24",2.71479988563632e-07,0.514892119129389,0.993,0.759,0.00608169470380249,"0","CD24"
"TAX1BP3",2.96319994464282e-07,0.330330545676589,0.805,0.53,0.00663816051598885,"0","TAX1BP3"
"PTGR1",3.01582796624704e-07,0.278832877683225,0.513,0.312,0.00675605780998662,"0","PTGR1"
"EIF3I",3.18909471480131e-07,0.251588976033818,0.882,0.721,0.0071442099800979,"0","EIF3I"
"IFITM3",3.27435799523716e-07,0.787810823397652,0.914,0.643,0.00733521678093028,"0","IFITM3"
"RPS16",3.38620989619422e-07,0.44217337701788,1,0.985,0.00758578740945429,"0","RPS16"
"S100A10",3.42452474824267e-07,0.593502637001786,0.996,0.91,0.00767162034101323,"0","S100A10"
"SLC2A1",3.46809148359517e-07,0.381170335687888,0.372,0.131,0.00776921854154991,"0","SLC2A1"
"ATP6V0E1",3.52481656267959e-07,0.38433033879662,0.967,0.858,0.00789629406371481,"0","ATP6V0E1"
"ITGB1",3.53181494706333e-07,0.362475247018436,0.903,0.669,0.00791197184441126,"0","ITGB1"
"EGLN3",4.08724142823186e-07,0.402960606486807,0.469,0.168,0.009156238247525,"0","EGLN3"
"NPDC1",4.33324865792336e-07,0.416856189461564,0.813,0.497,0.0097073436434799,"0","NPDC1"
"ZFP36L1",4.77251828228386e-07,0.623617071304931,0.917,0.691,0.0106913954559723,"0","ZFP36L1"
"SLC12A2",4.78877251565863e-07,0.747695180329516,0.936,0.642,0.0107278081895785,"0","SLC12A2"
"EPRS",5.21266220096119e-07,0.236533548660344,0.692,0.457,0.0116774058625933,"0","EPRS"
"PLA2G16",5.41780245100081e-07,0.899030007442362,0.675,0.253,0.012136961050732,"0","PLA2G16"
"MYO6",5.47601998349984e-07,0.381063903891893,0.805,0.49,0.0122673799670363,"0","MYO6"
"C4orf3",5.48552618507668e-07,0.765839735557284,0.941,0.762,0.0122886757598088,"0","C4orf3"
"CLDN4",5.90440844800646e-07,0.730354901619737,0.987,0.781,0.0132270558052241,"0","CLDN4"
"EIF6",6.09885921685322e-07,0.555019749135829,0.914,0.679,0.0136626644175946,"0","EIF6"
"SP5",6.13643267210317e-07,0.276054237241777,0.257,0.089,0.0137468364720455,"0","SP5"
"PYCR1",6.22533707494845e-07,0.26031997497719,0.614,0.336,0.0139460001152995,"0","PYCR1"
"PLOD3",6.24563383834039e-07,0.250634251673166,0.572,0.287,0.0139914689246501,"0","PLOD3"
"MET",6.83802603508699e-07,0.34414188200999,0.528,0.206,0.0153185459238019,"0","MET"
"TMC5",6.85520029272713e-07,0.476252459766205,0.806,0.514,0.0153570196957673,"0","TMC5"
"NDRG1",7.11956524054854e-07,0.987336817406728,0.625,0.372,0.0159492500518768,"0","NDRG1"
"CXCL1",7.49002866455762e-07,0.764262030586582,0.377,0.173,0.016779162214342,"0","CXCL1"
"TM7SF2",7.67998608718382e-07,0.368404581562391,0.499,0.19,0.0172047048325092,"0","TM7SF2"
"SOD1",7.77935862300128e-07,0.541760042060278,0.981,0.877,0.0174273191872475,"0","SOD1"
"ENC1",7.98199132842326e-07,0.381074637296338,0.584,0.289,0.0178812569739338,"0","ENC1"
"CTNNB1",8.86210491546181e-07,0.493088332221768,0.85,0.636,0.0198528874316175,"0","CTNNB1"
"AXIN2",9.16096209710511e-07,0.515246306832472,0.626,0.309,0.0205223872899349,"0","AXIN2"
"RPS21",9.22141064275756e-07,0.467656751262498,0.999,0.976,0.0206578041219055,"0","RPS21"
"S100A6",9.69198470253149e-07,0.571292893113018,0.999,0.966,0.021711984130611,"0","S100A6"
"HSD17B12",1.02413195913931e-06,0.421792664484526,0.837,0.599,0.0229426041486389,"0","HSD17B12"
"PDXK",1.06450951837807e-06,0.443612893907447,0.745,0.491,0.0238471422307055,"0","PDXK"
"PPIA",1.06988707066607e-06,0.378663360954434,0.999,0.948,0.0239676101570614,"0","PPIA"
"TMEM123",1.07730290285267e-06,0.701945991848786,0.966,0.755,0.0241337396297055,"0","TMEM123"
"PLEKHA1",1.13398329313372e-06,0.314185448213223,0.596,0.293,0.0254034937327817,"0","PLEKHA1"
"RPL4",1.13863844279356e-06,0.310948801130155,0.994,0.954,0.0255077783954613,"0","RPL4"
"GDF15",1.18687391149264e-06,0.754678771613326,0.673,0.4,0.0265883493652581,"0","GDF15"
"MFSD10",1.18781101938453e-06,0.373245616917655,0.708,0.42,0.0266093424562522,"0","MFSD10"
"RACK1",1.25682737775223e-06,0.35676120728687,0.999,0.983,0.0281554469164054,"0","RACK1"
"ALDH2",1.27882130527621e-06,0.440416210362084,0.885,0.683,0.0286481548807977,"0","ALDH2"
"CPNE1",1.28989988103958e-06,0.388067574148841,0.699,0.396,0.0288963371350487,"0","CPNE1"
"CLDN3",1.370949066908e-06,0.592311048416078,0.982,0.77,0.030712000996873,"0","CLDN3"
"BAIAP2L1",1.37423628825569e-06,0.265288952066335,0.584,0.299,0.030785641329504,"0","BAIAP2L1"
"ATP1B3",1.38676680159987e-06,0.261678363859019,0.869,0.662,0.0310663498894403,"0","ATP1B3"
"PFDN4",1.40501908274778e-06,0.320497421636004,0.812,0.519,0.0314752374917158,"0","PFDN4"
"KANK1",1.44330197678754e-06,0.228843275595476,0.469,0.227,0.0323328508839945,"0","KANK1"
"MGST3",1.44745634548318e-06,0.372435483836498,0.948,0.779,0.0324259170515142,"0","MGST3"
"RPL10A",1.4560328652636e-06,0.427557064328274,0.999,0.968,0.0326180482476351,"0","RPL10A"
"SERPINH1",1.51157015503378e-06,0.257178054691164,0.569,0.264,0.0338621946130666,"0","SERPINH1"
"JPT1",1.51728947595682e-06,0.305336125887995,0.875,0.675,0.0339903188403846,"0","JPT1"
"PSMB1",1.52009668400802e-06,0.333664534502454,0.964,0.853,0.0340532059151478,"0","PSMB1"
"EMP1",1.52830928941529e-06,0.279669624448551,0.351,0.112,0.0342371847014813,"0","EMP1"
"RNF114",1.53754632485075e-06,0.361457899314351,0.785,0.515,0.0344441127693066,"0","RNF114"
"DSP",1.61538781092015e-06,0.42188497222274,0.874,0.596,0.0361879177402331,"0","DSP"
"FXYD5",1.66116842276416e-06,0.440947646246583,0.729,0.375,0.0372134950067627,"0","FXYD5"
"OLA1",1.73914524659352e-06,0.306152315639144,0.814,0.565,0.0389603318141881,"0","OLA1"
"CEMIP2",1.74332859156375e-06,0.392876259867902,0.648,0.305,0.039054047108211,"0","CEMIP2"
"RHBDD2",1.77376691658749e-06,0.228271811070542,0.543,0.289,0.0397359264653929,"0","RHBDD2"
"VIL1",1.84140825786697e-06,0.276240539635941,0.808,0.545,0.0412512277927358,"0","VIL1"
"YAP1",1.86505905824197e-06,0.294113564643495,0.532,0.21,0.0417810530227365,"0","YAP1"
"RALA",1.917892744148e-06,0.310970800361184,0.762,0.487,0.0429646332544035,"0","RALA"
"C12orf75",1.9429966122946e-06,0.527053964008415,0.825,0.55,0.0435270101086237,"0","C12orf75"
"AP1M2",1.99852893551024e-06,0.27705545446067,0.785,0.499,0.0447710452133004,"0","AP1M2"
"MARCKSL1",2.03175334029959e-06,0.467165319473093,0.978,0.756,0.0455153383293915,"0","MARCKSL1"
"CEACAM5",2.12367484095509e-06,0.495506954681792,0.889,0.66,0.047574563787076,"0","CEACAM5"
"RPL131",2.02502712254124e-14,0.704937788998347,0.996,0.994,4.53646575991688e-10,"1","RPL13"
"LEFTY1",5.03106374298837e-13,1.39906688332577,0.896,0.474,1.12705889970426e-08,"1","LEFTY1"
"RPS241",8.71843244673536e-13,0.530145227744574,0.997,0.993,1.95310323671766e-08,"1","RPS24"
"RPS61",1.29933004543583e-12,0.553540005365488,0.997,0.996,2.91075916778536e-08,"1","RPS6"
"RPS181",3.52295876542089e-12,0.648703380891615,0.998,0.998,7.89213222629588e-08,"1","RPS18"
"RPL26",5.90989601917609e-12,0.66106864834001,0.993,0.992,1.32393490621583e-07,"1","RPL26"
"CDCA7",6.08239922145283e-12,0.814495387091159,0.76,0.35,1.36257907358986e-07,"1","CDCA7"
"PRDX51",1.38254779174190e-11,0.887015682964136,0.983,0.941,3.09718356306022e-07,"1","PRDX5"
"RPL121",1.60974430530694e-11,0.65569675687559,0.996,0.996,3.60614919274861e-07,"1","RPL12"
"RPL13A1",2.32681010922158e-11,0.539369605825136,0.999,0.998,5.21252000667819e-07,"1","RPL13A"
"RPS191",2.52902977371172e-11,0.519777224468039,0.996,0.995,5.66553249906899e-07,"1","RPS19"
"RPS9",2.93725228010712e-11,0.53330168093667,0.995,0.992,6.58003255789598e-07,"1","RPS9"
"RPL9",3.89164784051353e-11,0.557260414522937,0.992,0.991,8.71806949231841e-07,"1","RPL9"
"RPL141",5.77285289427919e-11,0.551877445558941,0.994,0.986,1.29323450537642e-06,"1","RPL14"
"SELENBP1",5.9664744893543e-11,0.761462430175393,0.892,0.59,1.33660961510515e-06,"1","SELENBP1"
"RPS121",6.36760562661391e-11,0.611690070615256,0.996,0.995,1.42647101247405e-06,"1","RPS12"
"RPL291",2.23498198041927e-10,0.577932397152551,0.994,0.994,5.00680663253525e-06,"1","RPL29"
"RPL36",2.27072634470293e-10,0.587707010621602,0.996,0.997,5.08688115740349e-06,"1","RPL36"
"NOP53",2.45342166293214e-10,0.680560591514381,0.963,0.907,5.49615520930058e-06,"1","NOP53"
"RPL311",2.92463883572305e-10,0.619644778922236,0.994,0.991,6.55177591978677e-06,"1","RPL31"
"ZFP36L2",3.81146895998434e-10,0.715502569889896,0.95,0.873,8.53845276415692e-06,"1","ZFP36L2"
"RPL10A1",4.00385598980724e-10,0.568080817579651,0.991,0.973,8.96943818836619e-06,"1","RPL10A"
"RPL11",4.53783135466109e-10,0.466818764455455,0.996,0.998,1.01656498007118e-05,"1","RPL11"
"SMOC2",5.09625336993955e-10,0.833370897413364,0.379,0.05,1.14166267993386e-05,"1","SMOC2"
"RPLP01",6.28964765787666e-10,0.588930429424528,0.995,0.984,1.40900686831753e-05,"1","RPLP0"
"IMPDH2",1.01454708485926e-09,0.658850102482628,0.845,0.644,2.27278837950171e-05,"1","IMPDH2"
"RPS5",1.27431674094094e-09,0.593911923731422,0.988,0.98,2.85472436305589e-05,"1","RPS5"
"RACK11",2.19540673956883e-09,0.59372243387828,0.995,0.986,4.91815017798209e-05,"1","RACK1"
"RGMB",2.21898428822928e-09,0.769805570208346,0.585,0.229,4.97096860249124e-05,"1","RGMB"
"RPS141",2.33124043165747e-09,0.496467467862744,0.996,0.997,5.22244481499906e-05,"1","RPS14"
"APCDD11",2.43552006534747e-09,0.657447529941258,0.395,0.109,5.45605205039139e-05,"1","APCDD1"
"ASCL21",2.88836428935719e-09,1.28436796020835,0.814,0.405,6.47051368101797e-05,"1","ASCL2"
"RPL38",3.69883099308954e-09,0.404546591450917,0.994,0.991,8.2861211907192e-05,"1","RPL38"
"RPL281",4.48172710376119e-09,0.426206826588222,0.996,0.998,0.000100399650578458,"1","RPL28"
