"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZWINT",6.33626975996463e-18,0.882556523496472,0.771,0.153,1.41945115162728e-13,"5","ZWINT"
"TUBA1B",1.10694346328229e-17,1.28721748908643,0.995,0.817,2.47977474644499e-13,"5","TUBA1B"
"GINS2",1.73113698221098e-17,0.903746212986642,0.777,0.1,3.87809306754903e-13,"5","GINS2"
"GMNN",1.95998966397745e-17,0.800372938900556,0.84,0.348,4.39076884524228e-13,"5","GMNN"
"SNRPB",2.84154652763044e-17,0.761196785640928,0.97,0.786,6.36563253119772e-13,"5","SNRPB"
"UBE2T",1.17821921470449e-16,0.773999239990654,0.712,0.156,2.63944668478099e-12,"5","UBE2T"
"CENPU",1.25178073311119e-16,0.571613016666827,0.593,0.063,2.8042391983157e-12,"5","CENPU"
"E2F1",1.60047244750655e-16,0.445422212538731,0.531,0.038,3.58537837690417e-12,"5","E2F1"
"HMGB2",4.39482623262604e-16,1.01721015400525,0.941,0.52,9.84528972632886e-12,"5","HMGB2"
"SIVA1",4.50343908703115e-16,0.891141496403633,0.944,0.671,1.00886042427672e-11,"5","SIVA1"
"BRCA1",5.64492896630274e-16,0.569720340215558,0.586,0.063,1.26457698703114e-11,"5","BRCA1"
"CENPK",8.31821908569511e-16,0.645052547155749,0.662,0.1,1.86344743957742e-11,"5","CENPK"
"CDC6",9.18572270049055e-16,0.427215597392316,0.5,0.039,2.05778559936389e-11,"5","CDC6"
"DNMT1",1.05684076648729e-15,0.776735520897095,0.844,0.259,2.36753468508483e-11,"5","DNMT1"
"TUBB",2.49148798285528e-15,1.04900503447623,0.973,0.693,5.5814313791924e-11,"5","TUBB"
"CKS1B",2.88789372589848e-15,0.95667444513608,0.87,0.399,6.46945952475777e-11,"5","CKS1B"
"MCM3",4.74885099977163e-15,0.776375295498022,0.807,0.22,1.06383760096884e-10,"5","MCM3"
"ATAD5",9.91589835959664e-15,0.483144736048501,0.527,0.073,2.22135955051684e-10,"5","ATAD5"
"ASF1B",1.08844992052511e-14,0.587386993351389,0.56,0.055,2.43834551196036e-10,"5","ASF1B"
"RFC3",2.21318424656187e-14,0.429041993194148,0.541,0.087,4.95797534914791e-10,"5","RFC3"
"PA2G4",4.01883243328845e-14,0.834597536645535,0.969,0.752,9.0029884170528e-10,"5","PA2G4"
"CENPW",4.18187359791003e-14,0.835926153851254,0.773,0.236,9.36823323403804e-10,"5","CENPW"
"MCM5",4.28169460484973e-14,0.593442193622657,0.673,0.142,9.59185225378437e-10,"5","MCM5"
"LMNB1",4.86077055144228e-14,0.546440674719871,0.716,0.205,1.0889098189341e-09,"5","LMNB1"
"RRM2",5.57220198993112e-14,1.12325989674318,0.574,0.087,1.24828468978437e-09,"5","RRM2"
"CHAF1A",7.07079094208536e-14,0.445157459058082,0.578,0.101,1.58399858684596e-09,"5","CHAF1A"
"CDK1",7.7138363875352e-14,0.600124391962191,0.522,0.055,1.72805362753564e-09,"5","CDK1"
"UNG",8.58782074151864e-14,0.613365546792487,0.701,0.222,1.923843602515e-09,"5","UNG"
"SNRPD1",1.16261863607054e-13,0.716803507122807,0.947,0.732,2.60449826852521e-09,"5","SNRPD1"
"EZH2",1.44080265522726e-13,0.406084863315995,0.591,0.163,3.2276861082401e-09,"5","EZH2"
"LRRC45",2.10239306843312e-13,0.257844358936493,0.429,0.111,4.70978095190386e-09,"5","LRRC45"
"RRM1",3.42202445459266e-13,0.624973667262747,0.712,0.191,7.66601918317848e-09,"5","RRM1"
"HNRNPAB1",4.17606111132319e-13,0.712353958930819,0.965,0.752,9.35521210158621e-09,"5","HNRNPAB"
"RAD51AP1",4.39995435203401e-13,0.556337320933907,0.561,0.065,9.85677773942659e-09,"5","RAD51AP1"
"UHRF1",5.84748766772352e-13,0.406345761222506,0.472,0.04,1.30995418732342e-08,"5","UHRF1"
"MCM10",6.70363192875552e-13,0.244015600378673,0.316,0.016,1.50174762467981e-08,"5","MCM10"
"PAICS",1.01607599603593e-12,0.571563614040864,0.788,0.407,2.27621344631969e-08,"5","PAICS"
"C21orf58",1.16081723001481e-12,0.298697534602958,0.356,0.048,2.60046275867919e-08,"5","C21orf58"
"HMGB1",1.44435676288337e-12,0.713518080294955,0.999,0.966,3.23564802021132e-08,"5","HMGB1"
"CENPH",1.7429958282689e-12,0.425882913212836,0.569,0.126,3.90465925448798e-08,"5","CENPH"
"SLBP",1.7965199610073e-12,0.660887330816812,0.772,0.362,4.02456401664855e-08,"5","SLBP"
"HMGN2",2.00176423958623e-12,0.73040826931311,0.987,0.878,4.48435224952106e-08,"5","HMGN2"
"DEK",2.2836631502772e-12,0.932990254903401,0.98,0.744,5.11586218925098e-08,"5","DEK"
"RFC4",2.61514421534732e-12,0.459370398096561,0.593,0.109,5.85844607122107e-08,"5","RFC4"
"FABP51",2.72570019115543e-12,1.0189894417231,0.925,0.56,6.10611356822638e-08,"5","FABP5"
"LIG1",2.75942975905601e-12,0.402304250752864,0.521,0.1,6.18167454623726e-08,"5","LIG1"
"PTMA1",2.86020642961299e-12,0.753731958753162,1,0.998,6.40743444361902e-08,"5","PTMA"
"NUSAP1",3.01213600908976e-12,0.42622738472374,0.468,0.078,6.74778708756288e-08,"5","NUSAP1"
"SMC2",3.9182967556341e-12,0.611908766929583,0.702,0.219,8.77776839197151e-08,"5","SMC2"
"KPNB1",4.94285616780527e-12,0.50429975622864,0.864,0.603,1.10729863871174e-07,"5","KPNB1"
"DTYMK",4.98950270142820e-12,0.633830140691379,0.76,0.281,1.11774839517395e-07,"5","DTYMK"
"RPA3",6.17884142015565e-12,0.834546217879867,0.888,0.48,1.38418405494327e-07,"5","RPA3"
"NDUFS8",7.29071270584581e-12,0.479238272636074,0.951,0.777,1.63326546036358e-07,"5","NDUFS8"
"SAC3D1",7.83467641194213e-12,0.446523428299285,0.617,0.197,1.75512420980328e-07,"5","SAC3D1"
"MZT2A",7.84519668304622e-12,0.66378739590628,0.969,0.763,1.75748096093601e-07,"5","MZT2A"
"BRI3BP",8.96367803441977e-12,0.573942713286114,0.819,0.399,2.00804315327072e-07,"5","BRI3BP"
"MCM6",1.00766952409198e-11,0.47653238299184,0.565,0.081,2.25738126787085e-07,"5","MCM6"
"SNRPG",1.1609014318106e-11,0.743130778379414,0.98,0.874,2.6006513875421e-07,"5","SNRPG"
"MYBL2",1.80681272443572e-11,0.499157224782497,0.465,0.068,4.04762186528089e-07,"5","MYBL2"
"TFDP1",1.85310590729203e-11,0.568914183231374,0.773,0.357,4.15132785351561e-07,"5","TFDP1"
"IDH21",2.06639435639587e-11,0.79549006104702,0.952,0.699,4.62913663719802e-07,"5","IDH2"
"LRRCC1",2.10023663465163e-11,0.327391306964015,0.569,0.212,4.70495010894659e-07,"5","LRRCC1"
"UBE2C",2.14944087836219e-11,0.588553095589957,0.522,0.079,4.81517745570698e-07,"5","UBE2C"
